scn_mbs_osi_runID_004_00157_Int-400_Exp-10800_08Oct16_21:15_to_09Oct16_00:19.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0   -600 10000000000 747681.3  8.6e+07    49.2    49.9    51.1   7.4   4.32
1  -32 (4112,4220)     0   -585 10000000000 2942836.1  1.7e+08    52.5    53.4    54.8   7.5   4.26
2  -32 (4112,4220)     0   -519 10000000000 1212320.5  1.1e+08    47.4    48.0    49.1   7.4   4.35
3  -32 (4112,4220)     0   -588 10000000000 1174234.3  1.1e+08    45.9    46.5    47.7   7.3   4.38
4  -32 (4112,4220)     0   -454 10000000000 3976755.5  2.0e+08    41.1    41.7    42.7   7.2   4.47
5  -32 (4112,4220)     0   -426 10000000000 1085065.8  1.0e+08    34.8    35.0    35.5   6.9   4.63
6  -32 (4112,4220)     0   -546 10000000000 3488336.7  1.9e+08    49.3    50.0    51.3   7.4   4.32
7  -32 (4112,4220)     0   -495 10000000000 3540697.4  1.9e+08    51.5    52.2    53.4   7.5   4.28
8  -32 (4112,4220)     0   -468 10000000000 7186766.9  2.7e+08    44.1    44.6    45.5   7.3   4.41
9  -32 (4112,4220)     0   -497 10000000000 960688.8  9.8e+07    47.2    47.8    48.8   7.4   4.35
10  -32 (4112,4220)     0   -448 10000000000 5549042.8  2.4e+08    52.3    53.1    54.5   7.5   4.27
11  -32 (4112,4220)     0   -509 10000000000 1559161.6  1.2e+08    52.2    53.0    54.3   7.5   4.27
12  -32 (4112,4220)     0   -443 10000000000 2790557.6  1.7e+08    48.5    49.2    50.4   7.4   4.33
13  -32 (4112,4220)     0   -862 10000000000 2359278.9  1.5e+08    52.7    53.4    54.7   7.5   4.26


scn_mbs_osi_runID_004_00158_Int-400_Exp-10800_09Oct16_00:34_to_09Oct16_03:38.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4754 10000000000 726908.4  8.5e+07    51.9    52.6    53.9   7.5   4.27
1  -32 (4112,4220)     0 -21421 10000000000 2364665.4  1.5e+08    56.5    57.5    59.1   7.6   4.20
2  -32 (4112,4220)     0 -19482 10000000000 984525.4  9.9e+07    47.5    48.1    49.3   7.4   4.35
3  -32 (4112,4220)     0 -10277 10000000000 927998.6  9.6e+07    47.2    47.8    49.0   7.4   4.35
4  -32 (4112,4220)     0 -11862 10000000000 3089224.2  1.8e+08    41.2    41.7    42.7   7.2   4.47
5  -32 (4112,4220)     0 -20603 10000000000 869741.1  9.3e+07    36.3    36.4    37.0   7.0   4.59
6  -32 (4112,4220)     0 -19863 10000000000 2813787.8  1.7e+08    51.9    52.6    54.0   7.5   4.27
7  -32 (4112,4220)     0 -24633 10000000000 2816775.3  1.7e+08    54.6    55.3    56.6   7.6   4.23
8  -32 (4112,4220)     0 -22164 10000000000 5556819.0  2.4e+08    45.0    45.5    46.5   7.3   4.39
9  -32 (4112,4220)     0 -17467 10000000000 829255.8  9.1e+07    48.1    48.7    49.7   7.4   4.34
10  -32 (4112,4220)     0 -26430 10000000000 4427739.8  2.1e+08    55.6    56.5    58.0   7.6   4.22
11  -32 (4112,4220)     0 -20001 10000000000 1273660.5  1.1e+08    55.4    56.2    57.6   7.6   4.22
12  -32 (4112,4220)     0 -16082 10000000000 2295064.1  1.5e+08    50.3    51.0    52.2   7.4   4.30
13  -32 (4112,4220)     0 -12217 10000000000 1914353.7  1.4e+08    56.3    57.1    58.6   7.6   4.21

scn_mbs_osi_runID_004_00159_Int-400_Exp-10800_09Oct16_03:54_to_09Oct16_06:57.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4696 10000000000 554448.0  7.4e+07    55.8    56.5    57.6   7.6   4.21
1  -32 (4112,4220)     0 -20848 10000000000 1832895.4  1.4e+08    61.3    62.2    63.4   7.7   4.14
2  -32 (4112,4220)     0 -19418 10000000000 795389.3  8.9e+07    48.6    49.1    50.2   7.4   4.33
